POSITION NAME,IMPORT NAME,CATEGORY,MINIMUM HOURS BILLED PER DAY,STANDARD POSITION RATE
A / V TECH <XL½>,A_/_V_TECH_<XL½>,TECH,5,50.00
A / V TECH <XL>,A_/_V_TECH_<XL>,TECH,10,40.00
A / V TECH <L½>,A_/_V_TECH_<L½>,TECH,5,40.00
A / V TECH <L>,A_/_V_TECH_<L>,TECH,10,35.00
A / V TECH <M½>,A_/_V_TECH_<M½>,TECH,5,35.00
A / V TECH <M>,A_/_V_TECH_<M>,TECH,10,30.00
A / V TECH <S½>,A_/_V_TECH_<S½>,TECH,5,30.00
A / V TECH <S>,A_/_V_TECH_<S>,TECH,10,25.00
A1 <3XL½>,A1_<3XL½>,TECH,5,60.00
A1 <3XL>,A1_<3XL>,TECH,10,50.00
A1 <2XL½>,A1_<2XL½>,TECH,5,54.00
A1 <2XL>,A1_<2XL>,TECH,10,45.00
A1 <XL½>,A1_<XL½>,TECH,5,50.00
A1 <XL>,A1_<XL>,TECH,10,40.00
A1 <L½>,A1_<L½>,TECH,5,40.00
A1 <L>,A1_<L>,TECH,10,35.00
A1 <M½>,A1_<M½>,TECH,5,35.00
A1 <M>,A1_<M>,TECH,10,30.00
A1 <S½>,A1_<S½>,TECH,5,30.00
A1 <S>,A1_<S>,TECH,10,25.00
A2 <3XL½>,A2_<3XL½>,TECH,5,60.00
A2 <3XL>,A2_<3XL>,TECH,10,50.00
A2 <2XL½>,A2_<2XL½>,TECH,5,54.00
A2 <2XL>,A2_<2XL>,TECH,10,45.00
A2 <XL½>,A2_<XL½>,TECH,5,50.00
A2 <XL>,A2_<XL>,TECH,10,40.00
A2 <L½>,A2_<L½>,TECH,5,40.00
A2 <L>,A2_<L>,TECH,10,35.00
A2 <M½>,A2_<M½>,TECH,5,35.00
A2 <M>,A2_<M>,TECH,10,30.00
A2 <S½>,A2_<S½>,TECH,5,30.00
A2 <S>,A2_<S>,TECH,10,25.00
A3 <M½>,A3_<M½>,TECH,5,35.00
A3 <M>,A3_<M>,TECH,10,30.00
A3 <S½>,A3_<S½>,TECH,5,30.00
A3 <S>,A3_<S>,TECH,10,25.00
ARBOR LOADER,ARBOR_LOADER,HAND,,
BOOM FORK OP,BOOM_FORK_OP,HAND,,
BOOM LIFT OP,BOOM_LIFT_OP,RIGGER,,
